"","fit"
"1",2.2e-06
"2",2.82e-05
"3",0.0001822
"4",0.0006208
"5",0.0015712
"6",0.0030652
"7",0.0053682
"8",0.0082952
"9",0.0120098
"10",0.0159566
"11",0.0203436
"12",0.024664
"13",0.0289422
"14",0.0331008
"15",0.0365252
"16",0.039509
"17",0.0419474
"18",0.0435774000000001
"19",0.0445494
"20",0.0450958
"21",0.0445986
"22",0.0439188000000001
"23",0.0427973999999999
"24",0.0410612000000001
"25",0.0391552000000001
"26",0.0369722
"27",0.0349143999999999
"28",0.0323260000000001
"29",0.0300826
"30",0.0274968
"31",0.0252978
"32",0.0228840000000001
"33",0.0207437999999999
"34",0.0186410000000002
"35",0.0167405999999998
"36",0.0150064
"37",0.013314
"38",0.0117204000000001
"39",0.0103321999999999
"40",0.00903439999999992
"41",0.00794739999999995
"42",0.00699920000000014
"43",0.00608099999999997
"44",0.00525720000000007
"45",0.00454699999999989
"46",0.00396140000000003
"47",0.00345240000000011
"48",0.0029323999999999
"49",0.00250000000000007
"50",0.00215279999999998
"51",0.00185979999999999
"52",0.00158479999999989
"53",0.00132120000000003
"54",0.00110219999999994
"55",0.000959600000000061
"56",0.000813200000000098
"57",0.000674600000000019
"58",0.000559999999999971
"59",0.00048740000000002
"60",0.000412799999999908
"61",0.000330400000000085
"62",0.000285000000000042
"63",0.00023379999999993
"64",0.000195799999999982
"65",0.000158000000000103
"66",0.000131399999999879
"67",0.000112800000000128
"68",9.57999999998822e-05
"69",8.01999999999401e-05
"70",6.88000000000425e-05
"71",5.56000000000515e-05
"72",4.39999999999122e-05
"73",3.88000000000472e-05
"74",2.98000000001006e-05
"75",2.43999999998204e-05
"76",1.86000000000977e-05
"77",1.65999999999361e-05
"78",1.76000000001037e-05
"79",1.12000000000029e-05
"80",1.02000000000088e-05
"81",6.3999999999273e-06
"82",6.40000000010077e-06
"83",4.99999999979684e-06
"84",3.60000000001332e-06
"85",4.60000000000738e-06
"86",3.00000000015566e-06
"87",2.60000000001925e-06
"88",2.19999999988285e-06
"89",1.20000000006226e-06
"90",1.60000000002519e-06
"91",1.79999999991992e-06
"92",6.00000000031132e-07
"93",1.20000000006226e-06
"94",0
"95",3.9999999996293e-07
"96",1.99999999894729e-07
"97",4.00000000136403e-07
"98",1.99999999894729e-07
"99",0
"100",3.9999999996293e-07
