"Country","other_interv1","other_interv1_off","major_intervention","other_interv2","other_interv2_off","major_intervention_off","interv_dummy"
"Spain",2020-03-17,2020-12-30,2020-03-14,2020-11-02,2020-10-01,2020-10-01,2020-03-12
"Iceland",2020-03-17,2020-12-30,2020-03-24,2020-11-02,2020-10-01,2020-10-01,2020-03-13
"Rioja",2020-03-17,2020-12-30,2020-03-14,2020-11-02,2020-10-01,2020-10-01,2020-03-11
"RiojaNORES",2020-03-17,2020-12-30,2020-03-14,2020-11-02,2020-10-01,2020-10-01,2020-03-11
"Germany",2020-03-17,2020-12-30,2020-03-22,2020-11-02,2020-10-01,2020-10-01,2020-10-01
"Italy",2020-03-17,2020-12-30,2020-03-11,2020-11-02,2020-10-01,2020-10-01,2020-10-01
"United_Kingdom",2020-03-17,2020-12-30,2020-03-24,2020-11-02,2020-10-01,2020-10-01,2020-10-01
"France",2020-03-17,2020-12-30,2020-03-17,2020-11-02,2020-10-01,2020-10-01,2020-10-01
"Germany_DC",2020-03-17,2020-12-30,2020-03-22,2020-11-02,2020-12-31,2020-05-06,2020-10-01
"France_DC",2020-03-17,2020-12-30,2020-03-17,2020-10-30,2020-12-30,2020-05-11,2020-10-01
"France_1st",2020-03-17,2020-12-30,2020-03-17,2020-10-30,2020-12-30,2020-05-11,2020-10-01
"France_2nd",2020-03-17,2020-12-30,2020-12-31,2020-10-30,2020-12-30,2020-12-31,2020-10-01
